,0
0,Colorado
1,Connecticut
2,Delaware
3,Georgia
4,Idaho
5,Kansas
6,Kentucky
7,Louisiana
8,Maine
9,Maryland
10,Massachusetts
11,Michigan
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,Nebraska
17,New Hampshire
18,New Mexico
19,North Carolina
20,North Dakota
21,Oregon
22,Rhode Island
23,South Carolina
24,South Dakota
25,Tennessee
26,Vermont
27,Virginia
28,West Virginia
29,Wisconsin
30,Wyoming
